time,open,high,low,close
2025-07-10T09:33:00+05:30,1516.7,1517,1516.1,1516.4
2025-07-10T09:34:00+05:30,1516.2,1516.4,1515.2,1515.8
2025-07-10T09:35:00+05:30,1515.6,1515.8,1514.7,1514.8
2025-07-10T09:36:00+05:30,1514.9,1515.1,1514.9,1515.1
2025-07-10T09:37:00+05:30,1515,1516.3,1515,1516.3
2025-07-10T09:38:00+05:30,1516.3,1516.8,1515.7,1516.4
2025-07-10T09:39:00+05:30,1516.4,1516.9,1516.4,1516.6
2025-07-10T09:40:00+05:30,1516.7,1517.5,1516.5,1517.5
2025-07-10T09:41:00+05:30,1517,1517,1516.2,1516.4
2025-07-10T09:42:00+05:30,1516.2,1516.5,1515.9,1516
2025-07-10T09:43:00+05:30,1516,1516,1515.6,1515.6
2025-07-10T09:44:00+05:30,1515.7,1515.9,1515.6,1515.8
2025-07-10T09:45:00+05:30,1515.8,1516.6,1515.8,1516.6
2025-07-10T09:46:00+05:30,1516.8,1518,1516.8,1517.6
2025-07-10T09:47:00+05:30,1517.5,1517.5,1516,1516
2025-07-10T09:48:00+05:30,1516,1516,1515.9,1515.9
2025-07-10T09:49:00+05:30,1515.9,1516,1515.9,1515.9
2025-07-10T09:50:00+05:30,1515.9,1516.1,1515.5,1516.1
2025-07-10T09:51:00+05:30,1516.1,1516.1,1515.9,1516.1
2025-07-10T09:52:00+05:30,1516,1516.6,1515.9,1516.5
2025-07-10T09:53:00+05:30,1516.4,1516.8,1516.4,1516.6
2025-07-10T09:54:00+05:30,1516.7,1516.8,1516.1,1516.1
2025-07-10T09:55:00+05:30,1516.2,1516.3,1515.7,1515.8
2025-07-10T09:56:00+05:30,1515.8,1515.9,1515.7,1515.7
2025-07-10T09:57:00+05:30,1515.7,1515.7,1515.5,1515.6
2025-07-10T09:58:00+05:30,1515.6,1515.8,1515.5,1515.8
2025-07-10T09:59:00+05:30,1515.6,1516.3,1515.6,1516.2
2025-07-10T10:00:00+05:30,1516.2,1517.1,1516.2,1517.1
2025-07-10T10:01:00+05:30,1517,1517.5,1516.9,1516.9
2025-07-10T10:02:00+05:30,1516.9,1517,1515.6,1515.6
2025-07-10T10:03:00+05:30,1515.6,1516.7,1515.5,1516.6
2025-07-10T10:04:00+05:30,1516.2,1516.3,1515,1515.1
2025-07-10T10:05:00+05:30,1515.2,1516.1,1515.2,1516
2025-07-10T10:06:00+05:30,1515.9,1515.9,1515.4,1515.5
2025-07-10T10:07:00+05:30,1515.5,1515.6,1515.3,1515.3
2025-07-10T10:08:00+05:30,1515.1,1515.1,1514.6,1514.9
2025-07-10T10:09:00+05:30,1514.9,1515.1,1514.9,1514.9
2025-07-10T10:10:00+05:30,1515,1515,1514.4,1514.5
2025-07-10T10:11:00+05:30,1514.5,1515,1514,1515
2025-07-10T10:12:00+05:30,1515,1515.1,1514,1514
2025-07-10T10:13:00+05:30,1514.3,1514.5,1514,1514.3
2025-07-10T10:14:00+05:30,1514.2,1515.2,1514,1515
2025-07-10T10:15:00+05:30,1515.2,1516,1514.1,1514.1
2025-07-10T10:16:00+05:30,1514.1,1514.1,1512.5,1513.9
2025-07-10T10:17:00+05:30,1513.8,1514.4,1513.8,1514.2
2025-07-10T10:18:00+05:30,1514.2,1514.6,1514.2,1514.5
2025-07-10T10:19:00+05:30,1514.5,1514.6,1514,1514
2025-07-10T10:20:00+05:30,1514.1,1514.4,1513.6,1513.6
2025-07-10T10:21:00+05:30,1513.6,1513.7,1513,1513
2025-07-10T10:22:00+05:30,1513,1513.1,1512.5,1512.5
2025-07-10T10:23:00+05:30,1512.5,1512.8,1512.3,1512.5
2025-07-10T10:24:00+05:30,1512.4,1512.6,1512,1512.6
2025-07-10T10:25:00+05:30,1512.9,1513,1512.6,1512.6
2025-07-10T10:26:00+05:30,1512.8,1513.1,1512.6,1513
2025-07-10T10:27:00+05:30,1513,1513.1,1513,1513.1
2025-07-10T10:28:00+05:30,1513,1513.2,1513,1513.1
2025-07-10T10:29:00+05:30,1513.2,1513.2,1513.1,1513.2
2025-07-10T10:30:00+05:30,1513.1,1513.2,1511,1511.6
2025-07-10T10:31:00+05:30,1511.7,1512.2,1511.7,1512
2025-07-10T10:32:00+05:30,1512.1,1512.3,1511.9,1512.2
2025-07-10T10:33:00+05:30,1512.2,1512.5,1512.1,1512.3
2025-07-10T10:34:00+05:30,1512.2,1512.3,1511.9,1511.9
2025-07-10T10:35:00+05:30,1511.9,1512.1,1511.9,1512
2025-07-10T10:36:00+05:30,1512,1512.1,1512,1512
