time,open,high,low,close
2025-07-11T11:32:00+05:30,688.6,688.7,688,688
2025-07-11T11:33:00+05:30,688.35,688.35,688,688.15
2025-07-11T11:34:00+05:30,688.35,688.85,688,688.85
2025-07-11T11:35:00+05:30,688.85,688.85,688.5,688.8
2025-07-11T11:36:00+05:30,688.8,688.85,688.65,688.8
2025-07-11T11:37:00+05:30,688.7,688.8,688.7,688.8
2025-07-11T11:38:00+05:30,688.8,689.15,688.75,689.15
2025-07-11T11:39:00+05:30,689.15,689.15,688.9,689.1
2025-07-11T11:40:00+05:30,689.15,689.4,689.05,689.1
2025-07-11T11:41:00+05:30,689.25,689.25,688.65,688.85
2025-07-11T11:42:00+05:30,688.85,690.35,688.7,690.2
2025-07-11T11:43:00+05:30,690.2,690.3,690,690.2
2025-07-11T11:44:00+05:30,690.2,690.2,690,690
2025-07-11T11:45:00+05:30,690.1,690.1,690,690.05
2025-07-11T11:46:00+05:30,690.05,690.5,690,690.45
2025-07-11T11:47:00+05:30,690.35,690.5,690.25,690.4
2025-07-11T11:48:00+05:30,690.45,690.45,690.1,690.35
2025-07-11T11:49:00+05:30,690.25,690.5,690.05,690.2
2025-07-11T11:50:00+05:30,690.2,690.2,690,690.1
2025-07-11T11:51:00+05:30,690.1,690.1,690,690.05
2025-07-11T11:52:00+05:30,690.05,690.05,690,690
2025-07-11T11:53:00+05:30,690.05,690.15,690,690.05
2025-07-11T11:54:00+05:30,690.15,690.15,690,690.05
2025-07-11T11:55:00+05:30,690.05,690.05,688.8,688.85
2025-07-11T11:56:00+05:30,688.85,689.2,688.65,688.85
2025-07-11T11:57:00+05:30,688.8,688.8,688.1,688.4
2025-07-11T11:58:00+05:30,688.4,688.65,688.3,688.65
2025-07-11T11:59:00+05:30,688.6,688.65,688.2,688.2
2025-07-11T12:00:00+05:30,688.25,688.25,687.6,687.6
2025-07-11T12:01:00+05:30,687.6,687.9,687.3,687.85
2025-07-11T12:02:00+05:30,688,688,687.5,687.7
2025-07-11T12:03:00+05:30,687.65,687.65,687.5,687.55
2025-07-11T12:04:00+05:30,687.5,687.55,687,687.55
2025-07-11T12:05:00+05:30,687.55,687.75,687.25,687.6
2025-07-11T12:06:00+05:30,687.6,687.95,687.4,687.8
2025-07-11T12:07:00+05:30,687.95,688.1,687.8,688
2025-07-11T12:08:00+05:30,688,688,687.7,687.85
2025-07-11T12:09:00+05:30,687.85,688.05,687.4,687.7
2025-07-11T12:10:00+05:30,687.7,688.2,687.5,687.9
2025-07-11T12:11:00+05:30,687.85,688.25,687.45,688.05
2025-07-11T12:12:00+05:30,688.05,688.15,688,688.1
2025-07-11T12:13:00+05:30,688.15,688.35,688,688.35
2025-07-11T12:14:00+05:30,688.35,688.5,688.25,688.5
2025-07-11T12:15:00+05:30,688.4,688.4,687.5,687.75
2025-07-11T12:16:00+05:30,687.75,687.75,687.5,687.55
2025-07-11T12:17:00+05:30,687.55,687.75,687.55,687.7
2025-07-11T12:18:00+05:30,687.7,687.95,687.5,687.85
2025-07-11T12:19:00+05:30,687.85,687.85,687.55,687.85
2025-07-11T12:20:00+05:30,687.85,687.85,687.5,687.65
2025-07-11T12:21:00+05:30,687.55,687.65,687.25,687.25
2025-07-11T12:22:00+05:30,687.25,687.7,687.15,687.65
2025-07-11T12:23:00+05:30,687.4,687.45,687.3,687.4
2025-07-11T12:24:00+05:30,687.2,687.35,686.3,686.6
2025-07-11T12:25:00+05:30,686.6,686.7,686.35,686.7
2025-07-11T12:26:00+05:30,686.7,686.7,686.5,686.65
2025-07-11T12:27:00+05:30,686.65,686.65,686.05,686.15
2025-07-11T12:28:00+05:30,686.15,686.3,686.1,686.25
2025-07-11T12:29:00+05:30,686.3,686.6,686.25,686.25
2025-07-11T12:30:00+05:30,686.25,686.8,686.1,686.55
2025-07-11T12:31:00+05:30,686.55,686.7,686.4,686.7
2025-07-11T12:32:00+05:30,686.75,686.75,686.35,686.35
2025-07-11T12:33:00+05:30,686.45,686.5,686.35,686.4
2025-07-11T12:34:00+05:30,686.5,687,686.45,687
2025-07-11T12:35:00+05:30,686.75,687.25,686.75,687.05
2025-07-11T12:36:00+05:30,687,687.5,687,687.3
2025-07-11T12:37:00+05:30,687.3,687.5,687.25,687.5
2025-07-11T12:38:00+05:30,687.25,687.35,687.25,687.35
2025-07-11T12:39:00+05:30,687.3,687.35,686.3,686.35
2025-07-11T12:40:00+05:30,686.35,686.5,685.4,685.65
2025-07-11T12:41:00+05:30,685.6,685.9,685.5,685.9
2025-07-11T12:42:00+05:30,685.9,686,685.5,685.55
2025-07-11T12:43:00+05:30,685.5,686.45,685.5,686.35
2025-07-11T12:44:00+05:30,686.35,686.65,685.2,685.45
2025-07-11T12:45:00+05:30,685.45,685.9,685.45,685.55
2025-07-11T12:46:00+05:30,685.55,685.7,685.5,685.55
2025-07-11T12:47:00+05:30,685.7,685.9,685.65,685.9
2025-07-11T12:48:00+05:30,685.9,685.9,685.65,685.8
2025-07-11T12:49:00+05:30,685.75,685.8,685.65,685.7
2025-07-11T12:50:00+05:30,685.65,685.65,685.5,685.5
2025-07-11T12:51:00+05:30,685.5,685.8,685.35,685.7
2025-07-11T12:52:00+05:30,685.55,685.6,685.35,685.4
2025-07-11T12:53:00+05:30,685.35,685.4,685.15,685.25
2025-07-11T12:54:00+05:30,685.35,685.4,685.1,685.2
2025-07-11T12:55:00+05:30,685.2,685.2,684.25,684.75
2025-07-11T12:56:00+05:30,684.75,685.15,684.5,685.05
2025-07-11T12:57:00+05:30,685.05,685.3,685,685.25
2025-07-11T12:58:00+05:30,685.2,685.25,684.85,684.95
2025-07-11T12:59:00+05:30,684.95,684.95,684.8,684.9
2025-07-11T13:00:00+05:30,684.9,685,684.8,684.95
2025-07-11T13:01:00+05:30,684.9,685.05,684.8,684.8
2025-07-11T13:02:00+05:30,684.8,684.8,684.65,684.75
2025-07-11T13:03:00+05:30,684.75,684.75,684.6,684.75
2025-07-11T13:04:00+05:30,684.75,684.8,684.75,684.8
2025-07-11T13:05:00+05:30,684.8,685.4,684.7,685.3
2025-07-11T13:06:00+05:30,685.3,685.3,684,684.35
2025-07-11T13:07:00+05:30,684.2,684.4,684.05,684.2
2025-07-11T13:08:00+05:30,684.2,684.35,684.1,684.1
2025-07-11T13:09:00+05:30,684.1,684.35,683.5,683.8
2025-07-11T13:10:00+05:30,683.85,684.2,683.7,684.2
