time,open,high,low,close
2025-05-27T12:05:00+05:30,1428.1,1429.8,1428.1,1428.8
2025-05-27T12:10:00+05:30,1428.8,1430.9,1427.8,1429.7
2025-05-27T12:15:00+05:30,1430.3,1431,1427.7,1428.3
2025-05-27T12:20:00+05:30,1428.7,1428.9,1425,1425.9
2025-05-27T12:25:00+05:30,1426,1427,1422.2,1423.5
2025-05-27T12:30:00+05:30,1423.2,1425.4,1421,1425.4
2025-05-27T12:35:00+05:30,1425,1425.3,1422.3,1422.3
2025-05-27T12:40:00+05:30,1422.6,1423.8,1421.2,1422.5
2025-05-27T12:45:00+05:30,1422.6,1424.4,1421.5,1422.1
2025-05-27T12:50:00+05:30,1421.8,1423.1,1421,1422.6
2025-05-27T12:55:00+05:30,1422.6,1423.7,1420.5,1420.9
2025-05-27T13:00:00+05:30,1420.8,1421.5,1418.9,1420.7
2025-05-27T13:05:00+05:30,1420.1,1421.8,1419.7,1421.7
2025-05-27T13:10:00+05:30,1421.4,1422.5,1420.7,1421.1
2025-05-27T13:15:00+05:30,1421.1,1423.5,1420.5,1421.5
2025-05-27T13:20:00+05:30,1421.5,1422.6,1420.7,1421.7
2025-05-27T13:25:00+05:30,1421.6,1422.4,1420,1421.7
2025-05-27T13:30:00+05:30,1421.8,1422.6,1421.1,1421.8
2025-05-27T13:35:00+05:30,1421.7,1422.5,1420.8,1421.3
2025-05-27T13:40:00+05:30,1421.2,1423,1420.7,1422.8
2025-05-27T13:45:00+05:30,1422.2,1423.8,1420.5,1421.8
2025-05-27T13:50:00+05:30,1421.7,1422.2,1419.4,1419.6
2025-05-27T13:55:00+05:30,1419.6,1420.6,1417,1417
2025-05-27T14:00:00+05:30,1417.1,1419,1416.7,1417.7
2025-05-27T14:05:00+05:30,1417.8,1420,1417.1,1417.2
2025-05-27T14:10:00+05:30,1417.2,1418.8,1417.1,1417.7
2025-05-27T14:15:00+05:30,1417.3,1419.7,1414.6,1414.8
2025-05-27T14:20:00+05:30,1414.4,1417,1413.9,1417
2025-05-27T14:25:00+05:30,1417,1417.2,1415.5,1416
2025-05-27T14:30:00+05:30,1416,1417.9,1415.5,1417.2
2025-05-27T14:35:00+05:30,1417.5,1419.4,1416.9,1418.9
2025-05-27T14:40:00+05:30,1419,1420.3,1418.9,1419.5
2025-05-27T14:45:00+05:30,1419.7,1420.5,1417.7,1420.1
2025-05-27T14:50:00+05:30,1420.1,1421,1419.2,1420.5
2025-05-27T14:55:00+05:30,1420.5,1422,1419.6,1421.9
2025-05-27T15:00:00+05:30,1422.5,1424.5,1421.8,1423.7
2025-05-27T15:05:00+05:30,1423.7,1425,1423.1,1423.6
2025-05-27T15:10:00+05:30,1423.6,1423.6,1420.9,1421.6
2025-05-27T15:15:00+05:30,1421.6,1421.6,1419.4,1419.5
2025-05-27T15:20:00+05:30,1419.9,1420.6,1419.1,1420.2
2025-05-27T15:25:00+05:30,1420.2,1424.8,1420.1,1424.2
2025-05-28T09:15:00+05:30,1421.7,1422,1414.5,1418
2025-05-28T09:20:00+05:30,1418,1422.6,1417.5,1417.9
2025-05-28T09:25:00+05:30,1417.9,1417.9,1414,1414.5
2025-05-28T09:30:00+05:30,1414.4,1416.4,1414.4,1415.6
2025-05-28T09:35:00+05:30,1415.4,1416.8,1412.5,1413.9
2025-05-28T09:40:00+05:30,1414.1,1416.4,1413.3,1416.1
2025-05-28T09:45:00+05:30,1416.1,1416.2,1414,1414.7
2025-05-28T09:50:00+05:30,1414.8,1414.8,1413.1,1414.5
2025-05-28T09:55:00+05:30,1414.2,1414.9,1412.5,1414.1
2025-05-28T10:00:00+05:30,1414.5,1414.5,1412.6,1413.2
2025-05-28T10:05:00+05:30,1413.1,1414.6,1412.9,1414.2
2025-05-28T10:10:00+05:30,1414.1,1414.6,1412.9,1413.5
2025-05-28T10:15:00+05:30,1413.5,1413.8,1411.6,1413.2
2025-05-28T10:20:00+05:30,1413.2,1414.1,1413,1413.2
2025-05-28T10:25:00+05:30,1413.2,1413.7,1411.1,1411.4
2025-05-28T10:30:00+05:30,1411.5,1412,1411,1411.8
2025-05-28T10:35:00+05:30,1411.9,1412,1411.1,1411.4
2025-05-28T10:40:00+05:30,1411.4,1412.4,1411.4,1411.9
2025-05-28T10:45:00+05:30,1411.9,1416.2,1411.8,1415
2025-05-28T10:50:00+05:30,1415.2,1416.1,1415,1415.6
2025-05-28T10:55:00+05:30,1415.6,1415.9,1414.9,1415.3
2025-05-28T11:00:00+05:30,1415.2,1417.3,1415,1417.2
2025-05-28T11:05:00+05:30,1417.1,1417.2,1414.6,1416.6
2025-05-28T11:10:00+05:30,1416.3,1416.3,1414.2,1415.1
2025-05-28T11:15:00+05:30,1415,1416,1415,1416
2025-05-28T11:20:00+05:30,1416,1417.4,1415.7,1416.5
2025-05-28T11:25:00+05:30,1416.5,1417.1,1415,1415.9
2025-05-28T11:30:00+05:30,1415.9,1416,1415,1415.6
2025-05-28T11:35:00+05:30,1415.6,1415.9,1415,1415
2025-05-28T11:40:00+05:30,1415.1,1415.6,1414.8,1415
2025-05-28T11:45:00+05:30,1415.1,1415.1,1414,1414.9
2025-05-28T11:50:00+05:30,1414.9,1416,1414.7,1415.6
2025-05-28T11:55:00+05:30,1415.6,1415.6,1414.3,1415.2
2025-05-28T12:00:00+05:30,1415.2,1415.2,1414,1414
2025-05-28T12:05:00+05:30,1414.1,1414.8,1413.4,1413.6
2025-05-28T12:10:00+05:30,1413.4,1414.2,1413,1414.1
2025-05-28T12:15:00+05:30,1414.1,1415.3,1414,1415.1
2025-05-28T12:20:00+05:30,1415,1415.2,1414.2,1415.1
2025-05-28T12:25:00+05:30,1415.1,1416.3,1415,1416.3
2025-05-28T12:30:00+05:30,1416.2,1417,1415.7,1416.7
2025-05-28T12:35:00+05:30,1416.9,1417,1415.6,1416.5
2025-05-28T12:40:00+05:30,1416.6,1417,1415.8,1416.9
2025-05-28T12:45:00+05:30,1416.7,1417.4,1416,1417.2
2025-05-28T12:50:00+05:30,1417.1,1418.9,1416.9,1418.3
2025-05-28T12:55:00+05:30,1418.3,1418.3,1417.6,1417.6
2025-05-28T13:00:00+05:30,1417.8,1418.1,1417.1,1418
2025-05-28T13:05:00+05:30,1418.1,1418.8,1418,1418
2025-05-28T13:10:00+05:30,1417.8,1418,1416.1,1416.3
2025-05-28T13:15:00+05:30,1416.3,1416.3,1415.6,1416.2
2025-05-28T13:20:00+05:30,1416.2,1416.3,1415.5,1416.2
2025-05-28T13:25:00+05:30,1416.2,1417.8,1416.1,1417.5
2025-05-28T13:30:00+05:30,1417.8,1418.5,1416.7,1416.7
2025-05-28T13:35:00+05:30,1417,1417.5,1416.1,1417
2025-05-28T13:40:00+05:30,1417.5,1417.5,1416,1416.5
2025-05-28T13:45:00+05:30,1416.1,1416.6,1415.6,1416.1
2025-05-28T13:50:00+05:30,1416.1,1416.9,1415.5,1415.6
2025-05-28T13:55:00+05:30,1415.6,1416,1415.5,1415.7
2025-05-28T14:00:00+05:30,1415.5,1415.7,1414.5,1415.1
2025-05-28T14:05:00+05:30,1415.1,1416.3,1415,1416
2025-05-28T14:10:00+05:30,1415.9,1416.1,1415.6,1415.8
2025-05-28T14:15:00+05:30,1415.8,1416,1415.2,1415.6
2025-05-28T14:20:00+05:30,1415.6,1417.4,1415.2,1416
2025-05-28T14:25:00+05:30,1416,1416.2,1415.5,1415.8
2025-05-28T14:30:00+05:30,1415.9,1416,1415.1,1415.3
2025-05-28T14:35:00+05:30,1415.4,1416.3,1414.7,1415.4
2025-05-28T14:40:00+05:30,1415.3,1415.3,1413.5,1414.1
2025-05-28T14:45:00+05:30,1414.1,1414.6,1413.8,1414.1
2025-05-28T14:50:00+05:30,1414.1,1414.5,1414,1414.1
2025-05-28T14:55:00+05:30,1414.1,1414.3,1413.9,1414.1
2025-05-28T15:00:00+05:30,1414.7,1415,1413.9,1414.1
2025-05-28T15:05:00+05:30,1413.6,1414.2,1413.6,1413.7
2025-05-28T15:10:00+05:30,1413.7,1413.7,1412.1,1412.2
2025-05-28T15:15:00+05:30,1412,1412.3,1410.7,1412
2025-05-28T15:20:00+05:30,1412.1,1412.7,1411.5,1412.7
2025-05-28T15:25:00+05:30,1412.7,1413.1,1412.5,1412.5
2025-05-29T09:15:00+05:30,1415.6,1419.8,1412,1416
2025-05-29T09:20:00+05:30,1415.9,1420,1415,1416.2
2025-05-29T09:25:00+05:30,1416.2,1418,1415.5,1415.7
2025-05-29T09:30:00+05:30,1415.7,1417.2,1415.3,1415.8
2025-05-29T09:35:00+05:30,1415.7,1416.8,1415.5,1416.7
2025-05-29T09:40:00+05:30,1416.4,1417.1,1414,1414.1
2025-05-29T09:45:00+05:30,1414.1,1415.7,1413.5,1414
2025-05-29T09:50:00+05:30,1414,1415,1413.6,1415
2025-05-29T09:55:00+05:30,1415,1415,1414.5,1414.7
2025-05-29T10:00:00+05:30,1414.6,1416.2,1414,1415
2025-05-29T10:05:00+05:30,1415,1417.4,1414.2,1414.2
2025-05-29T10:10:00+05:30,1414.7,1414.9,1413.7,1413.9
2025-05-29T10:15:00+05:30,1414.4,1415.5,1412.5,1412.8
2025-05-29T10:20:00+05:30,1413.1,1413.7,1411.6,1412
2025-05-29T10:25:00+05:30,1412,1412,1411.2,1411.4
2025-05-29T10:30:00+05:30,1411.5,1412.5,1410.9,1412.2
2025-05-29T10:35:00+05:30,1412.5,1412.6,1411.4,1412.1
2025-05-29T10:40:00+05:30,1412.5,1414,1412,1413.6
2025-05-29T10:45:00+05:30,1413.6,1414,1412.2,1413.3
2025-05-29T10:50:00+05:30,1413.4,1414,1412.1,1413
2025-05-29T10:55:00+05:30,1413.5,1414,1412.5,1412.8
2025-05-29T11:00:00+05:30,1412.9,1414,1411.6,1411.6
2025-05-29T11:05:00+05:30,1411.7,1412.9,1411.7,1412.1
2025-05-29T11:10:00+05:30,1412.2,1413.8,1412.1,1412.8
2025-05-29T11:15:00+05:30,1412.8,1412.9,1412,1412.1
2025-05-29T11:20:00+05:30,1412.2,1412.4,1411.9,1412.3
2025-05-29T11:25:00+05:30,1412.3,1413.3,1412,1413.1
2025-05-29T11:30:00+05:30,1413.2,1413.2,1412.2,1412.5
2025-05-29T11:35:00+05:30,1412.9,1413.9,1412.4,1413.2
2025-05-29T11:40:00+05:30,1413.2,1413.9,1412.6,1413.4
2025-05-29T11:45:00+05:30,1413.4,1414.1,1412.7,1413.6
2025-05-29T11:50:00+05:30,1413.6,1414,1413,1413.7
2025-05-29T11:55:00+05:30,1413.8,1414.5,1412.7,1413.8
2025-05-29T12:00:00+05:30,1414,1414.5,1413.6,1414.1
2025-05-29T12:05:00+05:30,1414,1414.3,1413.4,1413.6
2025-05-29T12:10:00+05:30,1413.5,1413.7,1412.3,1412.3
2025-05-29T12:15:00+05:30,1412.4,1412.8,1411.3,1411.9
2025-05-29T12:20:00+05:30,1411.9,1412.4,1411.3,1412
2025-05-29T12:25:00+05:30,1412,1412.8,1411.5,1412.4
2025-05-29T12:30:00+05:30,1412.4,1412.9,1412.1,1412.7
2025-05-29T12:35:00+05:30,1412.7,1412.8,1410,1410.1
2025-05-29T12:40:00+05:30,1409.1,1410.8,1408.6,1410.7
2025-05-29T12:45:00+05:30,1410.7,1412.9,1410.1,1411.8
2025-05-29T12:50:00+05:30,1411.8,1412.4,1411.3,1411.9
2025-05-29T12:55:00+05:30,1411.9,1414.4,1411.5,1414.2
2025-05-29T13:00:00+05:30,1413.9,1414.8,1412,1413.6
2025-05-29T13:05:00+05:30,1413.6,1414.1,1412.8,1413.8
2025-05-29T13:10:00+05:30,1413.4,1414,1412.1,1414
2025-05-29T13:15:00+05:30,1414,1414,1412.3,1412.8
2025-05-29T13:20:00+05:30,1412.8,1414.4,1412.6,1413.9
2025-05-29T13:25:00+05:30,1413.4,1414.4,1413,1414.1
2025-05-29T13:30:00+05:30,1414.2,1415,1413.8,1414.5
2025-05-29T13:35:00+05:30,1414.6,1414.9,1413.4,1414.6
2025-05-29T13:40:00+05:30,1414.5,1415,1413,1413.5
2025-05-29T13:45:00+05:30,1413.6,1414,1412.5,1413
2025-05-29T13:50:00+05:30,1413.1,1413.5,1412.4,1412.8
2025-05-29T13:55:00+05:30,1413,1413.3,1411.7,1412.5
2025-05-29T14:00:00+05:30,1412.5,1413,1411.7,1411.8
2025-05-29T14:05:00+05:30,1411.6,1412.6,1411.3,1411.9
2025-05-29T14:10:00+05:30,1411.7,1412.9,1411,1412.1
2025-05-29T14:15:00+05:30,1412.2,1412.6,1410.9,1412.1
2025-05-29T14:20:00+05:30,1411.9,1415,1411.9,1414.5
2025-05-29T14:25:00+05:30,1414.5,1418,1414.4,1415.5
2025-05-29T14:30:00+05:30,1415.5,1417.5,1415,1416
2025-05-29T14:35:00+05:30,1416.3,1417.3,1416,1416
2025-05-29T14:40:00+05:30,1416,1416.6,1414.9,1415.6
2025-05-29T14:45:00+05:30,1416,1416.1,1415,1415.6
2025-05-29T14:50:00+05:30,1415.6,1415.6,1414,1414.9
2025-05-29T14:55:00+05:30,1414.9,1415,1414.3,1415
2025-05-29T15:00:00+05:30,1414.9,1417.8,1414.9,1417.1
2025-05-29T15:05:00+05:30,1417.1,1418.3,1416.6,1417.4
2025-05-29T15:10:00+05:30,1417.5,1419.6,1417.4,1419
2025-05-29T15:15:00+05:30,1419,1419.2,1418.1,1418.9
2025-05-29T15:20:00+05:30,1418.9,1418.9,1416,1417.5
2025-05-29T15:25:00+05:30,1417.5,1420,1417.2,1418.3
2025-05-30T09:15:00+05:30,1423.6,1424.9,1413.4,1415.3
2025-05-30T09:20:00+05:30,1415.4,1418.7,1415,1418.6
2025-05-30T09:25:00+05:30,1418.5,1423.2,1417.8,1421
2025-05-30T09:30:00+05:30,1421.1,1428,1420.6,1426
2025-05-30T09:35:00+05:30,1426.3,1428.8,1425.3,1426.3
2025-05-30T09:40:00+05:30,1426,1428,1425.4,1427.3
2025-05-30T09:45:00+05:30,1427.3,1429.5,1426.1,1427.4
2025-05-30T09:50:00+05:30,1427.4,1430.6,1427.1,1429.7
2025-05-30T09:55:00+05:30,1429.7,1429.7,1427.7,1427.8
2025-05-30T10:00:00+05:30,1427.8,1427.8,1423.9,1424.6
2025-05-30T10:05:00+05:30,1425,1425,1421.8,1421.8
2025-05-30T10:10:00+05:30,1421.4,1424.7,1421.4,1422
2025-05-30T10:15:00+05:30,1422.1,1422.2,1418.4,1418.9
2025-05-30T10:20:00+05:30,1418.9,1418.9,1416.2,1417.5
2025-05-30T10:25:00+05:30,1417.5,1419.3,1417.4,1418.7
2025-05-30T10:30:00+05:30,1418.8,1419.7,1418.3,1418.8
2025-05-30T10:35:00+05:30,1418.9,1419.2,1417.6,1419
2025-05-30T10:40:00+05:30,1419,1419,1418,1418.3
2025-05-30T10:45:00+05:30,1417.9,1418,1414.5,1415
2025-05-30T10:50:00+05:30,1415,1415.8,1414,1415.5
2025-05-30T10:55:00+05:30,1415.3,1416.7,1415,1415.8
2025-05-30T11:00:00+05:30,1415.9,1416.7,1415.5,1415.8
2025-05-30T11:05:00+05:30,1415.8,1417.5,1415.8,1417.1
2025-05-30T11:10:00+05:30,1417.1,1417.5,1416.8,1417.5
2025-05-30T11:15:00+05:30,1417.5,1418.1,1417.1,1418
2025-05-30T11:20:00+05:30,1418.2,1419.8,1417.8,1419.5
2025-05-30T11:25:00+05:30,1419.5,1419.9,1418,1418.5
2025-05-30T11:30:00+05:30,1418.4,1419.7,1418.4,1418.8
2025-05-30T11:35:00+05:30,1418.6,1418.6,1417.4,1417.4
2025-05-30T11:40:00+05:30,1417.4,1417.4,1413.6,1413.6
2025-05-30T11:45:00+05:30,1413.7,1413.9,1411.2,1413.4
2025-05-30T11:50:00+05:30,1413.5,1414.9,1412.9,1414.8
2025-05-30T11:55:00+05:30,1414.9,1415,1412.9,1413.2
2025-05-30T12:00:00+05:30,1413.2,1413.9,1412.7,1412.7
2025-05-30T12:05:00+05:30,1412.7,1414.1,1412.5,1413.8
2025-05-30T12:10:00+05:30,1413.8,1413.8,1412.2,1412.7
2025-05-30T12:15:00+05:30,1412.7,1413,1409.7,1412.8
2025-05-30T12:20:00+05:30,1412.8,1413.5,1412.1,1412.5
2025-05-30T12:25:00+05:30,1412.7,1413.7,1412.3,1413.2
2025-05-30T12:30:00+05:30,1413.2,1414,1412,1413.5
2025-05-30T12:35:00+05:30,1413.5,1414.1,1413.3,1413.6
2025-05-30T12:40:00+05:30,1413.5,1414,1412.7,1413.2
2025-05-30T12:45:00+05:30,1413.5,1415.4,1413.5,1414.5
2025-05-30T12:50:00+05:30,1414.3,1415,1414.3,1414.8
2025-05-30T12:55:00+05:30,1414.8,1415.4,1414.6,1415.4
2025-05-30T13:00:00+05:30,1415.4,1415.9,1415,1415.8
2025-05-30T13:05:00+05:30,1416,1416,1415.2,1415.7
2025-05-30T13:10:00+05:30,1415.8,1415.9,1415.1,1415.9
2025-05-30T13:15:00+05:30,1415.9,1417,1415.6,1416.5
2025-05-30T13:20:00+05:30,1416.4,1416.4,1415.1,1415.5
2025-05-30T13:25:00+05:30,1415.5,1416,1415.2,1416
2025-05-30T13:30:00+05:30,1415.9,1415.9,1415,1415.1
2025-05-30T13:35:00+05:30,1415.2,1415.9,1415.2,1415.5
2025-05-30T13:40:00+05:30,1415.5,1415.5,1414.5,1415
2025-05-30T13:45:00+05:30,1415.1,1415.3,1415,1415
2025-05-30T13:50:00+05:30,1415.1,1415.3,1415,1415.3
2025-05-30T13:55:00+05:30,1415.2,1417.8,1415.2,1416.6
2025-05-30T14:00:00+05:30,1416.5,1417,1416,1416.2
2025-05-30T14:05:00+05:30,1416.2,1416.3,1415.5,1415.7
